organization,project_id,location,location_id,location_buffer_m,longitude,latitude,equipment_make,equipment_model,recording_id,recording_date_time,task_id,aru_task_status,task_duration,task_method,species_code,species_common_name,species_scientific_name,individual_order,tag_id,individual_count,vocalization,detection_time,tag_duration,rms_peak_dbfs,tag_is_verified,tag_rating,observer,observer_id,species_individual_comments,task_comments
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,SWTH,Swainson's Thrush,CATHARUS USTULATUS,2,41284,1,S-C,140.56,1.29,-52.14,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,UNAM,Unidentified passerine in the American Robin Song Complex,"",1,43948,1,Song,61.08,4.29,-42.84,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,UNAM,Unidentified passerine in the American Robin Song Complex,"",1,43953,1,Song,120.86,4.40,-40.47,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,1,41288,1,Song,122.18,1.74,-40.21,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,1,41289,1,Song,61.31,1.66,-41.1,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,1,43942,1,Song,0.00,1.25,-40.13,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,2,41290,1,Song,65.34,1.54,-40.4,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,2,43943,1,Song,3.04,1.65,-49.75,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,DEJU,Dark-eyed Junco,JUNCO HYEMALIS,2,41287,1,Song,120.49,1.49,-53.08,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,GRAJ,Gray Jay,PERISOREUS CANADENSIS,1,43954,1,Call,125.18,1.59,-55.61,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,VATH,Varied Thrush,IXOREUS NAEVIUS,1,41282,1,Song,124.40,1.30,-59.54,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,SWTH,Swainson's Thrush,CATHARUS USTULATUS,2,41278,1,S-C,10.49,1.15,-47.61,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,UNAM,Unidentified passerine in the American Robin Song Complex,"",1,43945,1,Song,0.66,2.91,-42.22,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,SWTH,Swainson's Thrush,CATHARUS USTULATUS,1,43952,1,S-C,120.14,1.38,-52.14,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,SWTH,Swainson's Thrush,CATHARUS USTULATUS,1,43950,1,S-C,4.06,1.43,-45.1,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,SWTH,Swainson's Thrush,CATHARUS USTULATUS,1,43949,1,S-C,63.99,1.58,-43.52,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,VATH,Varied Thrush,IXOREUS NAEVIUS,1,41280,1,Song,66.74,1.29,-52.07,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,VATH,Varied Thrush,IXOREUS NAEVIUS,1,41277,1,Song,0.00,1.06,-47.05,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,GCKI,Golden-crowned Kinglet,REGULUS SATRAPA,1,43960,1,Song,63.49,2.01,-66.71,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,GCKI,Golden-crowned Kinglet,REGULUS SATRAPA,1,43963,1,Song,131.41,2.35,-64.26,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,MGWA,MacGillivray's Warbler,GEOTHLYPIS TOLMIEI,1,43961,1,Song,78.36,1.44,-42.14,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,MGWA,MacGillivray's Warbler,GEOTHLYPIS TOLMIEI,1,43947,1,Song,1.15,1.45,-55.62,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,MGWA,MacGillivray's Warbler,GEOTHLYPIS TOLMIEI,1,43962,1,Song,124.66,1.54,-51.36,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,MGWA,MacGillivray's Warbler,GEOTHLYPIS TOLMIEI,2,43956,1,Song,32.74,1.35,-47.27,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,MGWA,MacGillivray's Warbler,GEOTHLYPIS TOLMIEI,2,43957,1,Song,66.93,1.21,-53.4,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,MGWA,MacGillivray's Warbler,GEOTHLYPIS TOLMIEI,2,43958,1,Song,123.04,1.31,-40.07,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,OSFL,Olive-sided Flycatcher,CONTOPUS COOPERI,1,41285,1,Song,143.90,0.95,-54.79,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,OSFL,Olive-sided Flycatcher,CONTOPUS COOPERI,1,41279,1,Song,18.79,0.93,-57.96,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,OSFL,Olive-sided Flycatcher,CONTOPUS COOPERI,1,43951,1,Song,98.49,1.05,-56.89,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,COLO,Common Loon,GAVIA IMMER,1,41286,1,Call,156.25,3.48,-53.09,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,UNWO,Unidentified Woodpecker,"",1,41283,1,Non-vocal,126.65,1.99,-54.77,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,UNWO,Unidentified Woodpecker,"",1,41281,1,Non-vocal,60.89,1.43,-40.5,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,UNWO,Unidentified Woodpecker,"",1,43941,1,Non-vocal,54.83,1.55,-47.53,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,7057,2018-06-28 05:21:00,9924,Transcribed,180s,1SPM,GCKI,Golden-crowned Kinglet,REGULUS SATRAPA,1,43959,1,Song,6.56,2.33,-67.67,f,,Christopher Wagner,39,,
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,6992,2018-07-01 04:53:00,9995,Transcribed,180s,1SPM,VATH,Varied Thrush,IXOREUS NAEVIUS,1,44422,TMTT,Song,1.99,1.58,-55.53,f,,Tyne Baker,23,AE:2-3,"Trees creaking, moderate wind with heavier gusts."
PC,10,WLNP-1-1,873,,-114.035145,49.017160,,,6992,2018-07-01 04:53:00,9995,Transcribed,180s,1SPM,HETH,Hermit Thrush,CATHARUS GUTTATUS,1,44455,TMTT,Song,121.30,1.44,-41.29,f,,Tyne Baker,23,"AE:2-4, some very distant","Trees creaking, moderate wind with heavier gusts."
